Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
6183,Nursing Support Worker,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6184,Nursing Support Worker,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6185,Nursing Support Worker,Writing,5,Intermediate,Prepare a standard operating procedures document
6186,Nursing Support Worker,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6187,Nursing Support Worker,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6188,Nursing Support Worker,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6189,Nursing Support Worker,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6190,Nursing Support Worker,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6191,Personal Care Assistant,Digital engagement,3,Basic,Enter information into a database
6192,Personal Care Assistant,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6193,Personal Care Assistant,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6194,Personal Care Assistant,Writing,5,Intermediate,Prepare a standard operating procedures document
6195,Personal Care Assistant,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6196,Personal Care Assistant,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6197,Personal Care Assistant,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6198,Personal Care Assistant,Oral communication,6,Intermediate,Give instructions to a lost driver
6199,Personal Care Assistant,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6200,Personal Care Assistant,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
6201,Therapy Aide,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6202,Therapy Aide,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6203,Therapy Aide,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6204,Therapy Aide,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6205,Therapy Aide,Writing,5,Intermediate,Prepare a standard operating procedures document
6206,Therapy Aide,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6207,Therapy Aide,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6208,Therapy Aide,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6209,Therapy Aide,Oral communication,6,Intermediate,Give instructions to a lost driver
6210,Therapy Aide,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6211,Bar Attendant,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6212,Bar Attendant,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6213,Bar Attendant,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6214,Bar Attendant,Writing,5,Intermediate,Prepare a standard operating procedures document
6215,Bar Attendant,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6216,Bar Attendant,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6217,Bar Attendant,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6218,Bar Attendant,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6219,Bar Attendant,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
6220,Bar Attendant,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6221,Barista,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6222,Barista,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6223,Barista,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6224,Barista,Writing,4,Intermediate,Write a job history as part of a job application
6225,Barista,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6226,Barista,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6227,Barista,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6228,Barista,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6229,Barista,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
6230,Barista,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
6231,Cafe Worker,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6232,Cafe Worker,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6233,Cafe Worker,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6234,Cafe Worker,Writing,4,Intermediate,Write a job history as part of a job application
6235,Cafe Worker,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
6236,Cafe Worker,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
6237,Cafe Worker,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6238,Cafe Worker,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6239,Cafe Worker,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
6240,Cafe Worker,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6241,Gaming Worker,Digital engagement,3,Basic,Enter information into a database
6242,Gaming Worker,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6243,Gaming Worker,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6244,Gaming Worker,Writing,5,Intermediate,Prepare a standard operating procedures document
6245,Gaming Worker,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6246,Gaming Worker,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6247,Gaming Worker,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6248,Gaming Worker,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6249,Gaming Worker,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
6250,Gaming Worker,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
6251,Hotel Service Manager,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
6252,Hotel Service Manager,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6253,Hotel Service Manager,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
6254,Hotel Service Manager,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6255,Hotel Service Manager,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
6256,Hotel Service Manager,Writing,7,Intermediate,Write a detailed literature review
6257,Hotel Service Manager,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6258,Hotel Service Manager,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
6259,Hotel Service Manager,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
6260,Hotel Service Manager,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6261,Waiter,Numeracy,3,Basic,Count the amount of change to be given to a customer
6262,Waiter,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6263,Waiter,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6264,Waiter,Writing,4,Intermediate,Write a job history as part of a job application
6265,Waiter,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
6266,Waiter,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
6267,Waiter,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6268,Waiter,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
6269,Waiter,Planning and organising,4,Intermediate,Schedule time for updating a manager on the progress of work
6270,Waiter,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
6271,Doorperson or Luggage Porter,Numeracy,3,Basic,Count the amount of change to be given to a customer
6272,Doorperson or Luggage Porter,Digital engagement,3,Basic,Enter information into a database
6273,Doorperson or Luggage Porter,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6274,Doorperson or Luggage Porter,Writing,4,Intermediate,Write a job history as part of a job application
6275,Doorperson or Luggage Porter,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6276,Doorperson or Luggage Porter,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
6277,Doorperson or Luggage Porter,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6278,Doorperson or Luggage Porter,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
6279,Doorperson or Luggage Porter,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
6280,Doorperson or Luggage Porter,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
6281,Emergency Service Worker,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6282,Emergency Service Worker,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6283,Emergency Service Worker,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6284,Emergency Service Worker,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6285,Emergency Service Worker,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
6286,Emergency Service Worker,Writing,6,Intermediate,Write a memo to staff outlining new directives
6287,Emergency Service Worker,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6288,Emergency Service Worker,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
6289,Emergency Service Worker,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
6290,Emergency Service Worker,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6291,Fire Fighter,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6292,Fire Fighter,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6293,Fire Fighter,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6294,Fire Fighter,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6295,Fire Fighter,Writing,5,Intermediate,Prepare a standard operating procedures document
6296,Fire Fighter,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6297,Fire Fighter,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6298,Fire Fighter,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6299,Fire Fighter,Oral communication,6,Intermediate,Give instructions to a lost driver
6300,Fire Fighter,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6301,Detective,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6302,Detective,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6303,Detective,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6304,Detective,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6305,Detective,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
6306,Detective,Writing,6,Intermediate,Write a memo to staff outlining new directives
6307,Detective,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6308,Detective,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
6309,Detective,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
6310,Detective,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6311,Police Officer,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6312,Police Officer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6313,Police Officer,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6314,Police Officer,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
6315,Police Officer,Writing,6,Intermediate,Write a memo to staff outlining new directives
6316,Police Officer,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6317,Police Officer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6318,Police Officer,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
6319,Police Officer,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6320,Police Officer,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6321,Prison Officer,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6322,Prison Officer,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
6323,Prison Officer,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6324,Prison Officer,Writing,5,Intermediate,Prepare a standard operating procedures document
6325,Prison Officer,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6326,Prison Officer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6327,Prison Officer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6328,Prison Officer,Oral communication,6,Intermediate,Give instructions to a lost driver
6329,Prison Officer,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
6330,Prison Officer,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6331,Private Investigator,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6332,Private Investigator,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6333,Private Investigator,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
6334,Private Investigator,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
6335,Private Investigator,Writing,6,Intermediate,Write a memo to staff outlining new directives
6336,Private Investigator,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6337,Private Investigator,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
6338,Private Investigator,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6339,Private Investigator,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6340,Private Investigator,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6341,Retail Loss Prevention Officer,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6342,Retail Loss Prevention Officer,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6343,Retail Loss Prevention Officer,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6344,Retail Loss Prevention Officer,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
6345,Retail Loss Prevention Officer,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6346,Retail Loss Prevention Officer,Writing,6,Intermediate,Write a memo to staff outlining new directives
6347,Retail Loss Prevention Officer,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6348,Retail Loss Prevention Officer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6349,Retail Loss Prevention Officer,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6350,Retail Loss Prevention Officer,Oral communication,6,Intermediate,Give instructions to a lost driver
6351,Security Consultant,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
6352,Security Consultant,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6353,Security Consultant,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
6354,Security Consultant,Teamwork,6,Intermediate,Initiate team problem solving sessions
6355,Security Consultant,Writing,6,Intermediate,Write a memo to staff outlining new directives
6356,Security Consultant,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6357,Security Consultant,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
6358,Security Consultant,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
6359,Security Consultant,Oral communication,6,Intermediate,Give instructions to a lost driver
6360,Security Consultant,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6361,Security Officer,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
6362,Security Officer,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6363,Security Officer,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
6364,Security Officer,Writing,5,Intermediate,Prepare a standard operating procedures document
6365,Security Officer,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6366,Security Officer,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6367,Security Officer,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
6368,Security Officer,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6369,Security Officer,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6370,Security Officer,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
6371,Beauty Therapist,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
6372,Beauty Therapist,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
6373,Beauty Therapist,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal."
6374,Beauty Therapist,Writing,5,Intermediate,Prepare a standard operating procedures document
6375,Beauty Therapist,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6376,Beauty Therapist,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6377,Beauty Therapist,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6378,Beauty Therapist,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6379,Beauty Therapist,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
6380,Beauty Therapist,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6381,Driving Instructor,Numeracy,3,Basic,Count the amount of change to be given to a customer
6382,Driving Instructor,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6383,Driving Instructor,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6384,Driving Instructor,Teamwork,6,Intermediate,Initiate team problem solving sessions
6385,Driving Instructor,Writing,6,Intermediate,Write a memo to staff outlining new directives
6386,Driving Instructor,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6387,Driving Instructor,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6388,Driving Instructor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6389,Driving Instructor,Oral communication,6,Intermediate,Give instructions to a lost driver
6390,Driving Instructor,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6391,Travel Consultant,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6392,Travel Consultant,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
6393,Travel Consultant,Teamwork,4,Intermediate,Cultivate a small informal network of people who may be able to advise on a project from a diverse range of perspectives.
6394,Travel Consultant,Writing,5,Intermediate,Prepare a standard operating procedures document
6395,Travel Consultant,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6396,Travel Consultant,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6397,Travel Consultant,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6398,Travel Consultant,Oral communication,6,Intermediate,Give instructions to a lost driver
6399,Travel Consultant,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6400,Travel Consultant,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
6401,Flight Attendant,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6402,Flight Attendant,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6403,Flight Attendant,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6404,Flight Attendant,Writing,5,Intermediate,Prepare a standard operating procedures document
6405,Flight Attendant,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6406,Flight Attendant,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6407,Flight Attendant,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6408,Flight Attendant,Oral communication,6,Intermediate,Give instructions to a lost driver
6409,Flight Attendant,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
6410,Flight Attendant,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6411,Fitness Instructor,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
6412,Fitness Instructor,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6413,Fitness Instructor,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6414,Fitness Instructor,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6415,Fitness Instructor,Writing,5,Intermediate,Prepare a standard operating procedures document
6416,Fitness Instructor,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6417,Fitness Instructor,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6418,Fitness Instructor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6419,Fitness Instructor,Oral communication,6,Intermediate,Give instructions to a lost driver
6420,Fitness Instructor,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
6421,Bungy Jump Master,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6422,Bungy Jump Master,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6423,Bungy Jump Master,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6424,Bungy Jump Master,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6425,Bungy Jump Master,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6426,Bungy Jump Master,Oral communication,6,Intermediate,Give instructions to a lost driver
6427,Bungy Jump Master,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6428,Bungy Jump Master,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6429,Bungy Jump Master,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6430,Bungy Jump Master,Writing,5,Intermediate,Prepare a standard operating procedures document
6431,Fishing Guide,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6432,Fishing Guide,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6433,Fishing Guide,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6434,Fishing Guide,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6435,Fishing Guide,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6436,Fishing Guide,Oral communication,6,Intermediate,Give instructions to a lost driver
6437,Fishing Guide,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6438,Fishing Guide,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6439,Fishing Guide,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6440,Fishing Guide,Writing,5,Intermediate,Prepare a standard operating procedures document
6441,Hunting Guide,Numeracy,3,Basic,Count the amount of change to be given to a customer
6442,Hunting Guide,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6443,Hunting Guide,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6444,Hunting Guide,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6445,Hunting Guide,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6446,Hunting Guide,Oral communication,6,Intermediate,Give instructions to a lost driver
6447,Hunting Guide,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6448,Hunting Guide,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6449,Hunting Guide,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6450,Hunting Guide,Writing,5,Intermediate,Prepare a standard operating procedures document
6451,Mountain or Glacier Guide,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6452,Mountain or Glacier Guide,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6453,Mountain or Glacier Guide,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6454,Mountain or Glacier Guide,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6455,Mountain or Glacier Guide,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6456,Mountain or Glacier Guide,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6457,Mountain or Glacier Guide,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6458,Mountain or Glacier Guide,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6459,Mountain or Glacier Guide,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6460,Mountain or Glacier Guide,Writing,5,Intermediate,Prepare a standard operating procedures document
6461,Outdoor Adventure Instructor,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6462,Outdoor Adventure Instructor,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6463,Outdoor Adventure Instructor,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6464,Outdoor Adventure Instructor,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6465,Outdoor Adventure Instructor,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6466,Outdoor Adventure Instructor,Oral communication,6,Intermediate,Give instructions to a lost driver
6467,Outdoor Adventure Instructor,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6468,Outdoor Adventure Instructor,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6469,Outdoor Adventure Instructor,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6470,Outdoor Adventure Instructor,Writing,5,Intermediate,Prepare a standard operating procedures document
6471,Trekking Guide,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6472,Trekking Guide,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6473,Trekking Guide,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
